gender,SeniorCitizen,Dependents,tenure,PhoneService,MultipleLines,InternetService,MonthlyCharges,Churn,gender_encoded,Dependents_encoded,PhoneService_encoded,MultipleLines_encoded,InternetService_encoded,Churn_encoded,Contract_Month-to-month,Contract_One_year,Contract_Two_year
Female,0,Yes,52,Yes,Yes,Fiber optic,20,No,0,1,1,1,1,0,True,False,False
Female,1,No,7,Yes,No,DSL,76,Yes,0,0,1,0,0,1,True,False,False
Male,0,No,13,Yes,No,Fiber optic,80,Yes,1,0,1,0,1,1,True,False,False
Female,1,No,15,Yes,Yes,DSL,90,Yes,0,0,1,1,0,1,False,False,True
Male,0,No,22,Yes,Yes,DSL,55,Yes,1,0,1,1,0,1,False,False,True
Female,0,No,19,Yes,Yes,Fiber optic,20,No,0,0,1,1,1,0,True,False,False
Male,0,Yes,23,No,No,Fiber optic,30,No,1,1,0,0,1,0,True,False,False
Female,0,No,72,Yes,Yes,DSL,114,No,0,0,1,1,0,0,True,False,False
Male,1,No,72,Yes,Yes,Fiber optic,98,No,1,0,1,1,1,0,True,False,False
Female,0,Yes,59,Yes,No,DSL,97,No,0,1,1,0,0,0,False,True,False
Female,0,Yes,70,Yes,Yes,Fiber optic,75,No,0,1,1,1,1,0,True,False,False
Male,0,Yes,70,Yes,Yes,Fiber optic,101,No,1,1,1,1,1,0,False,True,False
Male,0,Yes,9,Yes,Yes,Fiber optic,103,No,1,1,1,1,1,0,False,True,False
Female,0,No,3,Yes,Yes,DSL,25,No,0,0,1,1,0,0,False,False,True
Male,1,No,17,Yes,Yes,Fiber optic,102,No,1,0,1,1,1,0,False,False,True
Female,0,Yes,28,Yes,Yes,Fiber optic,70,No,0,1,1,1,1,0,True,False,False
Female,0,No,10,Yes,Yes,Fiber optic,54,No,0,0,1,1,1,0,True,False,False
Male,0,Yes,11,Yes,No,DSL,21,No,1,1,1,0,0,0,False,False,True
Male,1,No,72,Yes,No,DSL,103,No,1,0,1,0,0,0,False,True,False
Male,0,No,8,Yes,Yes,Fiber optic,70,Yes,1,0,1,1,1,1,True,False,False
Male,1,No,69,Yes,No,DSL,20,No,1,0,1,0,0,0,True,False,False
Female,0,Yes,39,Yes,Yes,Fiber optic,20,No,0,1,1,1,1,0,False,True,False
Male,0,Yes,67,No,No,DSL,51,No,1,1,0,0,0,0,False,False,True
Male,0,No,39,Yes,No,DSL,20,No,1,0,1,0,0,0,False,False,True
Male,0,Yes,54,Yes,No,Fiber optic,66,No,1,1,1,0,1,0,True,False,False
Female,0,No,1,Yes,No,DSL,74,Yes,0,0,1,0,0,1,True,False,False
Female,0,Yes,72,No,No,DSL,60,No,0,1,0,0,0,0,False,True,False
Male,0,No,10,Yes,Yes,Fiber optic,99,Yes,1,0,1,1,1,1,False,False,True
Male,0,Yes,13,Yes,Yes,DSL,97,Yes,1,1,1,1,0,1,False,False,True
Female,0,No,35,Yes,No,DSL,99,No,0,0,1,0,0,0,True,False,False
Male,0,Yes,12,No,Yes,Fiber optic,36,No,1,1,0,1,1,0,False,True,False
Male,0,No,31,Yes,No,DSL,91,No,1,0,1,0,0,0,False,True,False
Female,0,Yes,53,Yes,No,DSL,108,No,0,1,1,0,0,0,True,False,False
Male,0,No,30,Yes,Yes,DSL,20,No,1,0,1,1,0,0,False,True,False
Female,0,No,46,Yes,No,Fiber optic,75,No,0,0,1,0,1,0,True,False,False
Female,0,No,19,Yes,No,DSL,90,Yes,0,0,1,0,0,1,True,False,False
Female,0,No,23,Yes,No,Fiber optic,54,No,0,0,1,0,1,0,True,False,False
Female,1,No,15,Yes,No,Fiber optic,55,Yes,0,0,1,0,1,1,True,False,False
Male,0,No,48,Yes,No,DSL,20,No,1,0,1,0,0,0,False,False,True
Male,0,Yes,25,Yes,Yes,Fiber optic,96,Yes,1,1,1,1,1,1,True,False,False
Male,0,No,52,Yes,No,DSL,105,Yes,1,0,1,0,0,1,False,True,False
Male,0,No,12,Yes,No,DSL,82,Yes,1,0,1,0,0,1,False,False,True
Female,0,No,48,Yes,No,DSL,25,No,0,0,1,0,0,0,False,False,True
Female,0,No,38,Yes,No,DSL,20,No,0,0,1,0,0,0,True,False,False
Female,0,No,18,No,No,Fiber optic,35,No,0,0,0,0,1,0,True,False,False
Female,0,No,45,Yes,No,Fiber optic,50,No,0,0,1,0,1,0,True,False,False
Male,0,No,12,Yes,Yes,DSL,90,No,1,0,1,1,0,0,False,False,True
Female,1,No,66,Yes,Yes,Fiber optic,102,No,0,0,1,1,1,0,True,False,False
Female,0,No,72,Yes,Yes,Fiber optic,20,No,0,0,1,1,1,0,False,False,True
Female,0,No,70,No,Yes,Fiber optic,45,No,0,0,0,1,1,0,True,False,False
Female,0,No,27,Yes,Yes,DSL,90,No,0,0,1,1,0,0,False,True,False
Male,1,No,13,Yes,No,DSL,95,Yes,1,0,1,0,0,1,False,False,True
Female,0,Yes,65,Yes,No,Fiber optic,90,No,0,1,1,0,1,0,True,False,False
Female,0,Yes,14,Yes,No,DSL,70,No,0,1,1,0,0,0,True,False,False
Female,0,Yes,17,Yes,No,DSL,85,Yes,0,1,1,0,0,1,True,False,False
Female,0,No,31,Yes,Yes,Fiber optic,21,No,0,0,1,1,1,0,False,True,False
Male,0,Yes,24,Yes,No,DSL,24,No,1,1,1,0,0,0,False,True,False
Female,0,No,3,Yes,Yes,Fiber optic,20,No,0,0,1,1,1,0,False,False,True
Male,0,No,17,Yes,No,DSL,77,Yes,1,0,1,0,0,1,True,False,False
Male,0,No,66,Yes,Yes,Fiber optic,69,No,1,0,1,1,1,0,False,True,False
Male,0,No,45,Yes,No,DSL,53,No,1,0,1,0,0,0,False,True,False
Male,0,No,35,Yes,Yes,Fiber optic,92,No,1,0,1,1,1,0,False,True,False
Male,0,Yes,40,No,No,DSL,40,No,1,1,0,0,0,0,False,False,True
Female,0,No,10,Yes,Yes,Fiber optic,85,Yes,0,0,1,1,1,1,True,False,False
Female,0,No,52,Yes,No,DSL,64,No,0,0,1,0,0,0,False,True,False
Female,0,No,13,Yes,No,Fiber optic,19,No,0,0,1,0,1,0,True,False,False
Female,1,No,43,Yes,Yes,Fiber optic,90,No,0,0,1,1,1,0,True,False,False
Female,0,No,41,Yes,No,DSL,20,No,0,0,1,0,0,0,False,False,True
Female,1,No,52,No,No,Fiber optic,50,No,0,0,0,0,1,0,True,False,False
Female,0,No,71,Yes,No,DSL,93,No,0,0,1,0,0,0,False,False,True
Male,0,No,61,Yes,Yes,Fiber optic,106,No,1,0,1,1,1,0,True,False,False
Female,0,No,26,No,No,DSL,44,No,0,0,0,0,0,0,False,False,True
Male,0,Yes,72,Yes,Yes,Fiber optic,68,No,1,1,1,1,1,0,True,False,False
Female,0,No,42,Yes,Yes,Fiber optic,78,No,0,0,1,1,1,0,False,True,False
Female,0,Yes,57,Yes,No,DSL,65,No,0,1,1,0,0,0,True,False,False
Male,0,Yes,9,Yes,Yes,Fiber optic,20,No,1,1,1,1,1,0,True,False,False
Female,0,No,9,Yes,No,DSL,71,Yes,0,0,1,0,0,1,True,False,False
Male,0,No,33,Yes,No,DSL,45,No,1,0,1,0,0,0,True,False,False
Male,0,No,1,Yes,No,Fiber optic,19,No,1,0,1,0,1,0,False,False,True
Female,0,No,7,Yes,Yes,Fiber optic,79,Yes,0,0,1,1,1,1,True,False,False
Male,0,No,1,Yes,Yes,DSL,72,Yes,1,0,1,1,0,1,False,False,True
Male,0,Yes,65,Yes,No,DSL,20,No,1,1,1,0,0,0,True,False,False
Male,0,No,10,Yes,No,DSL,86,Yes,1,0,1,0,0,1,False,True,False
Male,0,No,70,Yes,Yes,Fiber optic,95,No,1,0,1,1,1,0,True,False,False
Female,0,No,29,Yes,No,DSL,99,Yes,0,0,1,0,0,1,True,False,False
Male,0,Yes,21,Yes,No,DSL,104,Yes,1,1,1,0,0,1,False,False,True
Male,0,No,1,Yes,No,DSL,91,Yes,1,0,1,0,0,1,True,False,False
Male,0,No,5,Yes,No,DSL,20,No,1,0,1,0,0,0,True,False,False
Male,0,No,56,Yes,Yes,DSL,90,No,1,0,1,1,0,0,False,False,True
Male,0,Yes,35,Yes,No,Fiber optic,85,Yes,1,1,1,0,1,1,True,False,False
Male,0,Yes,10,Yes,No,DSL,20,No,1,1,1,0,0,0,False,False,True
Female,0,No,31,No,No,DSL,50,No,0,0,0,0,0,0,False,False,True
Male,1,No,37,Yes,No,Fiber optic,86,Yes,1,0,1,0,1,1,True,False,False
Male,1,No,57,Yes,Yes,DSL,95,Yes,1,0,1,1,0,1,False,False,True
Female,0,Yes,34,Yes,Yes,DSL,26,No,0,1,1,1,0,0,True,False,False
Female,0,No,3,Yes,Yes,Fiber optic,99,Yes,0,0,1,1,1,1,False,False,True
Female,0,No,4,Yes,Yes,Fiber optic,83,No,0,0,1,1,1,0,False,True,False
Female,0,No,54,Yes,Yes,DSL,20,No,0,0,1,1,0,0,False,False,True
Male,0,Yes,6,Yes,Yes,Fiber optic,20,No,1,1,1,1,1,0,False,False,True
Male,0,No,22,Yes,No,DSL,60,No,1,0,1,0,0,0,False,True,False
Male,0,No,23,Yes,No,DSL,97,No,1,0,1,0,0,0,True,False,False
Female,0,No,68,Yes,No,DSL,58,No,0,0,1,0,0,0,False,True,False
Female,0,Yes,48,Yes,No,DSL,20,No,0,1,1,0,0,0,True,False,False
Male,0,Yes,34,Yes,No,DSL,21,No,1,1,1,0,0,0,True,False,False
Female,0,No,41,Yes,Yes,Fiber optic,80,No,0,0,1,1,1,0,True,False,False
Male,0,No,9,Yes,Yes,Fiber optic,76,No,1,0,1,1,1,0,False,True,False
Female,1,No,18,Yes,No,DSL,104,No,0,0,1,0,0,0,False,False,True
Male,0,No,35,Yes,No,DSL,96,No,1,0,1,0,0,0,True,False,False
Male,0,Yes,55,Yes,No,Fiber optic,79,No,1,1,1,0,1,0,True,False,False
Male,0,No,54,Yes,Yes,Fiber optic,108,No,1,0,1,1,1,0,True,False,False
Female,1,No,2,Yes,No,DSL,79,Yes,0,0,1,0,0,1,False,True,False
Male,0,No,52,Yes,No,DSL,106,No,1,0,1,0,0,0,False,False,True
Male,0,No,72,Yes,Yes,DSL,70,No,1,0,1,1,0,0,False,False,True
Male,0,No,9,Yes,No,DSL,70,No,1,0,1,0,0,0,True,False,False
Female,0,Yes,3,Yes,Yes,Fiber optic,70,No,0,1,1,1,1,0,True,False,False
Male,1,No,4,Yes,No,Fiber optic,75,No,1,0,1,0,1,0,True,False,False
Male,0,Yes,69,Yes,Yes,DSL,76,No,1,1,1,1,0,0,False,False,True
Female,0,Yes,67,No,No,DSL,36,No,0,1,0,0,0,0,False,True,False
Male,0,No,4,Yes,No,DSL,80,Yes,1,0,1,0,0,1,False,False,True
Male,0,No,13,No,No,Fiber optic,46,Yes,1,0,0,0,1,1,True,False,False
Female,0,Yes,45,Yes,Yes,DSL,81,No,0,1,1,1,0,0,False,False,True
Male,0,No,68,Yes,No,DSL,101,No,1,0,1,0,0,0,True,False,False
Female,0,Yes,69,Yes,No,DSL,74,No,0,1,1,0,0,0,True,False,False
Female,0,No,70,No,No,Fiber optic,58,No,0,0,0,0,1,0,False,True,False
Female,0,No,1,Yes,Yes,Fiber optic,20,Yes,0,0,1,1,1,1,True,False,False
Female,0,Yes,45,Yes,No,DSL,26,No,0,1,1,0,0,0,False,False,True
Female,0,Yes,37,Yes,No,Fiber optic,20,No,0,1,1,0,1,0,False,True,False
Female,0,Yes,10,No,No,DSL,40,No,0,1,0,0,0,0,False,True,False
Female,0,Yes,1,Yes,Yes,DSL,89,No,0,1,1,1,0,0,True,False,False
Male,0,Yes,29,Yes,Yes,Fiber optic,69,No,1,1,1,1,1,0,True,False,False
Male,1,Yes,72,Yes,No,Fiber optic,104,No,1,1,1,0,1,0,True,False,False
Female,0,No,2,Yes,Yes,Fiber optic,76,Yes,0,0,1,1,1,1,True,False,False
Male,0,No,24,Yes,No,DSL,54,No,1,0,1,0,0,0,False,True,False
Female,0,No,4,Yes,No,DSL,79,Yes,0,0,1,0,0,1,True,False,False
Male,0,No,72,Yes,No,DSL,19,No,1,0,1,0,0,0,True,False,False
Female,0,No,11,Yes,Yes,Fiber optic,79,No,0,0,1,1,1,0,True,False,False
Female,0,Yes,44,Yes,No,DSL,20,No,0,1,1,0,0,0,False,True,False
Male,0,Yes,62,Yes,No,Fiber optic,20,No,1,1,1,0,1,0,True,False,False
Male,0,Yes,70,Yes,No,DSL,25,No,1,1,1,0,0,0,True,False,False
Female,1,No,1,No,No,DSL,25,Yes,0,0,0,0,0,1,True,False,False
Female,0,No,4,Yes,No,DSL,106,Yes,0,0,1,0,0,1,True,False,False
Female,1,No,2,Yes,No,DSL,86,Yes,0,0,1,0,0,1,False,True,False
Female,0,No,41,Yes,Yes,DSL,56,No,0,0,1,1,0,0,True,False,False
Female,1,No,1,Yes,Yes,DSL,19,Yes,0,0,1,1,0,1,False,True,False
Male,1,No,72,Yes,No,Fiber optic,84,No,1,0,1,0,1,0,True,False,False
Female,0,No,63,Yes,No,DSL,109,No,0,0,1,0,0,0,False,False,True
Male,0,No,68,Yes,Yes,Fiber optic,80,No,1,0,1,1,1,0,False,False,True
Female,1,No,59,Yes,No,DSL,100,No,0,0,1,0,0,0,False,False,True
Male,1,No,52,No,No,Fiber optic,49,No,1,0,0,0,1,0,True,False,False
Male,1,Yes,26,Yes,Yes,DSL,106,Yes,1,1,1,1,0,1,False,False,True
Male,0,No,66,No,Yes,Fiber optic,57,No,1,0,0,1,1,0,True,False,False
Female,1,No,56,Yes,Yes,Fiber optic,96,No,0,0,1,1,1,0,False,False,True
Female,0,No,72,Yes,No,DSL,79,No,0,0,1,0,0,0,True,False,False
Male,1,No,2,Yes,No,Fiber optic,70,No,1,0,1,0,1,0,False,True,False
Male,0,No,68,Yes,No,Fiber optic,117,No,1,0,1,0,1,0,True,False,False
Male,0,Yes,61,Yes,Yes,Fiber optic,85,No,1,1,1,1,1,0,False,False,True
Male,0,No,1,Yes,No,Fiber optic,20,No,1,0,1,0,1,0,True,False,False
Male,0,No,2,Yes,No,Fiber optic,20,No,1,0,1,0,1,0,True,False,False
Female,0,No,2,Yes,No,Fiber optic,20,Yes,0,0,1,0,1,1,False,True,False
Male,1,Yes,68,Yes,No,DSL,85,No,1,1,1,0,0,0,False,False,True
Male,0,No,9,Yes,No,Fiber optic,68,No,1,0,1,0,1,0,True,False,False
Male,0,No,13,Yes,No,Fiber optic,83,Yes,1,0,1,0,1,1,True,False,False
Female,0,No,22,Yes,No,Fiber optic,20,No,0,0,1,0,1,0,False,True,False
Male,0,Yes,66,Yes,No,DSL,25,No,1,1,1,0,0,0,True,False,False
Male,0,Yes,8,Yes,No,DSL,20,No,1,1,1,0,0,0,True,False,False
Male,0,Yes,2,Yes,No,DSL,70,No,1,1,1,0,0,0,False,False,True
Male,0,No,3,Yes,No,DSL,56,No,1,0,1,0,0,0,False,True,False
Male,0,No,5,Yes,Yes,Fiber optic,92,Yes,1,0,1,1,1,1,True,False,False
Male,0,No,13,Yes,No,DSL,20,No,1,0,1,0,0,0,True,False,False
Male,0,Yes,53,Yes,No,DSL,65,No,1,1,1,0,0,0,False,False,True
Male,0,No,3,Yes,No,DSL,20,No,1,0,1,0,0,0,False,False,True
Male,0,No,46,Yes,Yes,DSL,95,No,1,0,1,1,0,0,False,False,True
Female,0,No,39,No,No,Fiber optic,40,No,0,0,0,0,1,0,True,False,False
Female,0,Yes,30,Yes,No,Fiber optic,108,No,0,1,1,0,1,0,True,False,False
Female,0,No,23,Yes,Yes,DSL,99,No,0,0,1,1,0,0,False,False,True
Male,0,Yes,40,Yes,No,DSL,20,No,1,1,1,0,0,0,False,True,False
Female,0,No,45,Yes,No,DSL,63,No,0,0,1,0,0,0,True,False,False
Male,0,No,53,Yes,No,DSL,20,No,1,0,1,0,0,0,False,True,False
Female,1,No,72,Yes,No,DSL,112,No,0,0,1,0,0,0,False,True,False
Male,0,Yes,28,Yes,No,DSL,20,No,1,1,1,0,0,0,False,True,False
Female,0,No,49,Yes,No,DSL,67,No,0,0,1,0,0,0,True,False,False
Male,0,No,1,Yes,Yes,Fiber optic,75,Yes,1,0,1,1,1,1,True,False,False
Female,0,No,20,Yes,Yes,DSL,81,No,0,0,1,1,0,0,False,False,True
Female,0,Yes,53,Yes,Yes,Fiber optic,61,No,0,1,1,1,1,0,False,False,True
Male,0,No,67,Yes,No,Fiber optic,69,No,1,0,1,0,1,0,True,False,False
Male,0,No,11,Yes,No,Fiber optic,74,Yes,1,0,1,0,1,1,True,False,False
Female,0,Yes,52,Yes,No,DSL,86,No,0,1,1,0,0,0,False,False,True
Female,0,No,1,Yes,Yes,DSL,91,Yes,0,0,1,1,0,1,True,False,False
Female,0,No,48,Yes,Yes,DSL,56,No,0,0,1,1,0,0,True,False,False
Female,0,No,7,Yes,No,DSL,75,Yes,0,0,1,0,0,1,False,False,True
Male,0,Yes,7,Yes,Yes,Fiber optic,71,No,1,1,1,1,1,0,True,False,False
Female,0,Yes,12,Yes,No,Fiber optic,84,No,0,1,1,0,1,0,True,False,False
Male,0,No,40,Yes,No,DSL,25,No,1,0,1,0,0,0,False,False,True
Male,0,No,55,Yes,Yes,DSL,78,No,1,0,1,1,0,0,False,False,True
Female,0,No,20,Yes,Yes,Fiber optic,20,No,0,0,1,1,1,0,False,False,True
Male,0,No,1,No,No,DSL,36,Yes,1,0,0,0,0,1,False,True,False
Female,0,Yes,72,Yes,No,Fiber optic,84,No,0,1,1,0,1,0,True,False,False
Male,0,No,63,Yes,No,DSL,110,No,1,0,1,0,0,0,True,False,False
Female,0,No,70,No,No,Fiber optic,65,No,0,0,0,0,1,0,True,False,False
Female,0,No,8,Yes,Yes,DSL,64,No,0,0,1,1,0,0,False,True,False
Female,0,No,1,Yes,No,Fiber optic,46,Yes,0,0,1,0,1,1,True,False,False
Male,0,No,16,Yes,No,DSL,20,No,1,0,1,0,0,0,True,False,False
Female,0,Yes,11,No,Yes,Fiber optic,25,No,0,1,0,1,1,0,False,True,False
Male,0,No,11,Yes,No,Fiber optic,75,Yes,1,0,1,0,1,1,False,True,False
Female,0,Yes,41,Yes,No,Fiber optic,88,No,0,1,1,0,1,0,True,False,False
Male,0,Yes,14,Yes,No,DSL,76,No,1,1,1,0,0,0,True,False,False
Female,0,No,61,Yes,Yes,DSL,89,No,0,0,1,1,0,0,False,True,False
Female,0,No,20,Yes,No,DSL,89,No,0,0,1,0,0,0,True,False,False
Female,0,No,47,Yes,No,DSL,106,Yes,0,0,1,0,0,1,False,False,True
Male,0,Yes,2,Yes,Yes,Fiber optic,60,No,1,1,1,1,1,0,False,False,True
Male,0,Yes,41,Yes,Yes,Fiber optic,60,No,1,1,1,1,1,0,False,True,False
Female,0,No,72,Yes,No,DSL,25,No,0,0,1,0,0,0,True,False,False
Female,0,Yes,72,Yes,No,DSL,80,No,0,1,1,0,0,0,True,False,False
Female,0,No,46,Yes,No,DSL,96,No,0,0,1,0,0,0,True,False,False
Male,0,No,1,Yes,Yes,Fiber optic,20,Yes,1,0,1,1,1,1,True,False,False
Male,0,Yes,29,No,Yes,Fiber optic,45,No,1,1,0,1,1,0,True,False,False
Female,0,No,37,Yes,No,DSL,100,No,0,0,1,0,0,0,False,False,True
Male,0,No,19,Yes,Yes,Fiber optic,62,No,1,0,1,1,1,0,False,True,False
Female,0,Yes,49,Yes,Yes,DSL,78,No,0,1,1,1,0,0,False,False,True
Male,0,Yes,13,Yes,Yes,DSL,44,No,1,1,1,1,0,0,False,False,True
Female,0,No,22,Yes,No,Fiber optic,50,No,0,0,1,0,1,0,True,False,False
Female,1,No,53,Yes,No,DSL,97,No,0,0,1,0,0,0,False,False,True
Male,0,No,24,Yes,Yes,DSL,50,Yes,1,0,1,1,0,1,False,False,True
Female,0,No,37,Yes,No,Fiber optic,20,No,0,0,1,0,1,0,True,False,False
Male,0,Yes,6,Yes,No,DSL,55,Yes,1,1,1,0,0,1,False,False,True
Female,0,No,7,Yes,No,DSL,80,Yes,0,0,1,0,0,1,True,False,False
Female,0,Yes,12,Yes,Yes,Fiber optic,20,Yes,0,1,1,1,1,1,True,False,False
Female,0,No,71,Yes,No,Fiber optic,25,No,0,0,1,0,1,0,True,False,False
Male,0,Yes,26,Yes,Yes,Fiber optic,82,No,1,1,1,1,1,0,True,False,False
Female,0,No,6,Yes,Yes,Fiber optic,46,No,0,0,1,1,1,0,True,False,False
Male,0,No,32,Yes,No,DSL,88,No,1,0,1,0,0,0,True,False,False
Female,0,No,47,Yes,No,DSL,59,No,0,0,1,0,0,0,True,False,False
Female,0,Yes,31,Yes,No,DSL,21,No,0,1,1,0,0,0,True,False,False
Female,0,Yes,52,Yes,No,DSL,84,No,0,1,1,0,0,0,True,False,False
Female,0,No,60,No,No,DSL,61,No,0,0,0,0,0,0,True,False,False
Female,0,No,48,Yes,Yes,DSL,66,No,0,0,1,1,0,0,True,False,False
Male,0,No,45,Yes,Yes,DSL,19,No,1,0,1,1,0,0,True,False,False
Female,0,No,39,Yes,No,Fiber optic,80,Yes,0,0,1,0,1,1,True,False,False
Female,1,No,1,Yes,Yes,Fiber optic,86,Yes,0,0,1,1,1,1,False,True,False
Male,0,No,1,Yes,No,DSL,70,Yes,1,0,1,0,0,1,True,False,False
Female,0,No,6,Yes,No,Fiber optic,79,Yes,0,0,1,0,1,1,True,False,False
Male,0,No,9,Yes,No,Fiber optic,76,No,1,0,1,0,1,0,True,False,False
Male,0,Yes,72,Yes,No,DSL,114,No,1,1,1,0,0,0,True,False,False
Male,1,No,71,No,Yes,Fiber optic,52,No,1,0,0,1,1,0,True,False,False
Male,0,Yes,71,Yes,No,DSL,20,No,1,1,1,0,0,0,False,True,False
Female,0,No,64,Yes,No,Fiber optic,95,No,0,0,1,0,1,0,False,True,False
Female,0,Yes,28,Yes,No,Fiber optic,20,No,0,1,1,0,1,0,True,False,False
Female,0,Yes,70,Yes,No,DSL,115,No,0,1,1,0,0,0,True,False,False
Male,1,No,39,Yes,No,DSL,96,Yes,1,0,1,0,0,1,True,False,False
Female,0,Yes,16,Yes,No,Fiber optic,20,No,0,1,1,0,1,0,False,False,True
Male,1,No,66,Yes,Yes,Fiber optic,111,Yes,1,0,1,1,1,1,True,False,False
Female,1,No,21,Yes,Yes,DSL,95,No,0,0,1,1,0,0,True,False,False
Female,0,No,44,Yes,No,Fiber optic,85,Yes,0,0,1,0,1,1,True,False,False
Female,1,No,54,Yes,No,DSL,99,No,0,0,1,0,0,0,False,True,False
Male,0,No,4,Yes,Yes,Fiber optic,57,No,1,0,1,1,1,0,True,False,False
Female,1,No,60,Yes,No,Fiber optic,110,No,0,0,1,0,1,0,True,False,False
Male,0,No,26,Yes,No,DSL,92,No,1,0,1,0,0,0,False,False,True
Female,0,Yes,24,Yes,Yes,Fiber optic,79,No,0,1,1,1,1,0,True,False,False
Male,0,Yes,53,Yes,Yes,DSL,19,No,1,1,1,1,0,0,False,False,True
Female,0,Yes,46,Yes,Yes,Fiber optic,19,No,0,1,1,1,1,0,True,False,False
Female,0,Yes,56,Yes,No,DSL,89,No,0,1,1,0,0,0,False,False,True
Female,0,No,7,Yes,Yes,Fiber optic,59,No,0,0,1,1,1,0,True,False,False
Female,0,No,1,Yes,Yes,DSL,86,Yes,0,0,1,1,0,1,False,True,False
Male,0,No,1,Yes,No,DSL,46,No,1,0,1,0,0,0,True,False,False
Male,0,No,60,Yes,No,Fiber optic,20,No,1,0,1,0,1,0,True,False,False
Male,0,No,61,Yes,Yes,Fiber optic,21,No,1,0,1,1,1,0,False,False,True
