gender,SeniorCitizen,Dependents,tenure,PhoneService,MultipleLines,MonthlyCharges,Churn,gender_encoded,Dependents_encoded,PhoneService_encoded,MultipleLines_encoded,Churn_encoded,InternetService_DSL,InternetService_Fiber optic,Contract_Month-to-month,Contract_One year,Contract_Two year,EstimatedTotalCharges,ContractLengthMonths,ServiceCount,IsNewCustomer,TenureGroup_New (0-12mo),TenureGroup_Established (13-24mo),TenureGroup_Loyal (25-48mo),TenureGroup_Very Loyal (49-72mo)
Female,0,Yes,59,Yes,No,97,No,0,1,1,0,0,True,False,False,True,False,5723,12,2,0,False,False,False,True
Female,0,Yes,70,Yes,Yes,75,No,0,1,1,1,0,False,True,True,False,False,5250,1,3,0,False,False,False,True
Male,0,Yes,70,Yes,Yes,101,No,1,1,1,1,0,False,True,False,True,False,7070,12,3,0,False,False,False,True
Male,0,Yes,9,Yes,Yes,103,No,1,1,1,1,0,False,True,False,True,False,927,12,3,0,True,False,False,False
Female,0,No,3,Yes,Yes,25,No,0,0,1,1,0,True,False,False,False,True,75,24,3,1,True,False,False,False
Male,1,No,17,Yes,Yes,102,No,1,0,1,1,0,False,True,False,False,True,1734,24,3,0,False,True,False,False
Female,0,Yes,28,Yes,Yes,70,No,0,1,1,1,0,False,True,True,False,False,1960,1,3,0,False,False,True,False
Female,0,No,10,Yes,Yes,54,No,0,0,1,1,0,False,True,True,False,False,540,1,3,0,True,False,False,False
Male,0,Yes,11,Yes,No,21,No,1,1,1,0,0,True,False,False,False,True,231,24,2,0,True,False,False,False
Male,1,No,72,Yes,No,103,No,1,0,1,0,0,True,False,False,True,False,7416,12,2,0,False,False,False,True
Male,0,No,8,Yes,Yes,70,Yes,1,0,1,1,1,False,True,True,False,False,560,1,3,0,True,False,False,False
Male,1,No,69,Yes,No,20,No,1,0,1,0,0,True,False,True,False,False,1380,1,2,0,False,False,False,True
Female,0,Yes,39,Yes,Yes,20,No,0,1,1,1,0,False,True,False,True,False,780,12,3,0,False,False,True,False
Male,0,Yes,67,No,No,51,No,1,1,0,0,0,True,False,False,False,True,3417,24,1,0,False,False,False,True
Male,0,No,39,Yes,No,20,No,1,0,1,0,0,True,False,False,False,True,780,24,2,0,False,False,True,False
Male,0,Yes,54,Yes,No,66,No,1,1,1,0,0,False,True,True,False,False,3564,1,2,0,False,False,False,True
Female,0,No,1,Yes,No,74,Yes,0,0,1,0,1,True,False,True,False,False,74,1,2,1,True,False,False,False
Female,0,Yes,72,No,No,60,No,0,1,0,0,0,True,False,False,True,False,4320,12,1,0,False,False,False,True
Male,0,No,10,Yes,Yes,99,Yes,1,0,1,1,1,False,True,False,False,True,990,24,3,0,True,False,False,False
Male,0,Yes,13,Yes,Yes,97,Yes,1,1,1,1,1,True,False,False,False,True,1261,24,3,0,False,True,False,False
Female,0,No,35,Yes,No,99,No,0,0,1,0,0,True,False,True,False,False,3465,1,2,0,False,False,True,False
Male,0,Yes,12,No,Yes,36,No,1,1,0,1,0,False,True,False,True,False,432,12,2,0,True,False,False,False
Male,0,No,31,Yes,No,91,No,1,0,1,0,0,True,False,False,True,False,2821,12,2,0,False,False,True,False
Female,0,Yes,53,Yes,No,108,No,0,1,1,0,0,True,False,True,False,False,5724,1,2,0,False,False,False,True
Male,0,No,30,Yes,Yes,20,No,1,0,1,1,0,True,False,False,True,False,600,12,3,0,False,False,True,False
Female,0,No,46,Yes,No,75,No,0,0,1,0,0,False,True,True,False,False,3450,1,2,0,False,False,True,False
Female,0,No,19,Yes,No,90,Yes,0,0,1,0,1,True,False,True,False,False,1710,1,2,0,False,True,False,False
Female,0,No,23,Yes,No,54,No,0,0,1,0,0,False,True,True,False,False,1242,1,2,0,False,True,False,False
Female,1,No,15,Yes,No,55,Yes,0,0,1,0,1,False,True,True,False,False,825,1,2,0,False,True,False,False
Male,0,No,48,Yes,No,20,No,1,0,1,0,0,True,False,False,False,True,960,24,2,0,False,False,True,False
Male,0,Yes,25,Yes,Yes,96,Yes,1,1,1,1,1,False,True,True,False,False,2400,1,3,0,False,False,True,False
Male,0,No,52,Yes,No,105,Yes,1,0,1,0,1,True,False,False,True,False,5460,12,2,0,False,False,False,True
Male,0,No,12,Yes,No,82,Yes,1,0,1,0,1,True,False,False,False,True,984,24,2,0,True,False,False,False
Female,0,No,48,Yes,No,25,No,0,0,1,0,0,True,False,False,False,True,1200,24,2,0,False,False,True,False
Female,0,No,38,Yes,No,20,No,0,0,1,0,0,True,False,True,False,False,760,1,2,0,False,False,True,False
Female,0,No,18,No,No,35,No,0,0,0,0,0,False,True,True,False,False,630,1,1,0,False,True,False,False
Female,0,No,45,Yes,No,50,No,0,0,1,0,0,False,True,True,False,False,2250,1,2,0,False,False,True,False
Male,0,No,12,Yes,Yes,90,No,1,0,1,1,0,True,False,False,False,True,1080,24,3,0,True,False,False,False
Female,1,No,66,Yes,Yes,102,No,0,0,1,1,0,False,True,True,False,False,6732,1,3,0,False,False,False,True
Female,0,No,72,Yes,Yes,20,No,0,0,1,1,0,False,True,False,False,True,1440,24,3,0,False,False,False,True
Female,0,No,70,No,Yes,45,No,0,0,0,1,0,False,True,True,False,False,3150,1,2,0,False,False,False,True
Female,0,No,27,Yes,Yes,90,No,0,0,1,1,0,True,False,False,True,False,2430,12,3,0,False,False,True,False
Male,1,No,13,Yes,No,95,Yes,1,0,1,0,1,True,False,False,False,True,1235,24,2,0,False,True,False,False
Female,0,Yes,65,Yes,No,90,No,0,1,1,0,0,False,True,True,False,False,5850,1,2,0,False,False,False,True
Female,0,Yes,14,Yes,No,70,No,0,1,1,0,0,True,False,True,False,False,980,1,2,0,False,True,False,False
Female,0,Yes,17,Yes,No,85,Yes,0,1,1,0,1,True,False,True,False,False,1445,1,2,0,False,True,False,False
Female,0,No,31,Yes,Yes,21,No,0,0,1,1,0,False,True,False,True,False,651,12,3,0,False,False,True,False
Male,0,Yes,24,Yes,No,24,No,1,1,1,0,0,True,False,False,True,False,576,12,2,0,False,True,False,False
Female,0,No,3,Yes,Yes,20,No,0,0,1,1,0,False,True,False,False,True,60,24,3,1,True,False,False,False
Male,0,No,17,Yes,No,77,Yes,1,0,1,0,1,True,False,True,False,False,1309,1,2,0,False,True,False,False
Male,0,No,66,Yes,Yes,69,No,1,0,1,1,0,False,True,False,True,False,4554,12,3,0,False,False,False,True
Male,0,No,45,Yes,No,53,No,1,0,1,0,0,True,False,False,True,False,2385,12,2,0,False,False,True,False
Male,0,No,35,Yes,Yes,92,No,1,0,1,1,0,False,True,False,True,False,3220,12,3,0,False,False,True,False
Male,0,Yes,40,No,No,40,No,1,1,0,0,0,True,False,False,False,True,1600,24,1,0,False,False,True,False
Female,0,No,10,Yes,Yes,85,Yes,0,0,1,1,1,False,True,True,False,False,850,1,3,0,True,False,False,False
Female,0,No,52,Yes,No,64,No,0,0,1,0,0,True,False,False,True,False,3328,12,2,0,False,False,False,True
Female,0,No,13,Yes,No,19,No,0,0,1,0,0,False,True,True,False,False,247,1,2,0,False,True,False,False
Female,1,No,43,Yes,Yes,90,No,0,0,1,1,0,False,True,True,False,False,3870,1,3,0,False,False,True,False
Female,0,No,41,Yes,No,20,No,0,0,1,0,0,True,False,False,False,True,820,24,2,0,False,False,True,False
Female,1,No,52,No,No,50,No,0,0,0,0,0,False,True,True,False,False,2600,1,1,0,False,False,False,True
Female,0,No,71,Yes,No,93,No,0,0,1,0,0,True,False,False,False,True,6603,24,2,0,False,False,False,True
Male,0,No,61,Yes,Yes,106,No,1,0,1,1,0,False,True,True,False,False,6466,1,3,0,False,False,False,True
Female,0,No,26,No,No,44,No,0,0,0,0,0,True,False,False,False,True,1144,24,1,0,False,False,True,False
Male,0,Yes,72,Yes,Yes,68,No,1,1,1,1,0,False,True,True,False,False,4896,1,3,0,False,False,False,True
Female,0,No,42,Yes,Yes,78,No,0,0,1,1,0,False,True,False,True,False,3276,12,3,0,False,False,True,False
Female,0,Yes,57,Yes,No,65,No,0,1,1,0,0,True,False,True,False,False,3705,1,2,0,False,False,False,True
Male,0,Yes,9,Yes,Yes,20,No,1,1,1,1,0,False,True,True,False,False,180,1,3,0,True,False,False,False
Female,0,No,9,Yes,No,71,Yes,0,0,1,0,1,True,False,True,False,False,639,1,2,0,True,False,False,False
Male,0,No,33,Yes,No,45,No,1,0,1,0,0,True,False,True,False,False,1485,1,2,0,False,False,True,False
Male,0,No,1,Yes,No,19,No,1,0,1,0,0,False,True,False,False,True,19,24,2,1,True,False,False,False
Female,0,No,7,Yes,Yes,79,Yes,0,0,1,1,1,False,True,True,False,False,553,1,3,0,True,False,False,False
Male,0,No,1,Yes,Yes,72,Yes,1,0,1,1,1,True,False,False,False,True,72,24,3,1,True,False,False,False
Male,0,Yes,65,Yes,No,20,No,1,1,1,0,0,True,False,True,False,False,1300,1,2,0,False,False,False,True
Male,0,No,10,Yes,No,86,Yes,1,0,1,0,1,True,False,False,True,False,860,12,2,0,True,False,False,False
Male,0,No,70,Yes,Yes,95,No,1,0,1,1,0,False,True,True,False,False,6650,1,3,0,False,False,False,True
Female,0,No,29,Yes,No,99,Yes,0,0,1,0,1,True,False,True,False,False,2871,1,2,0,False,False,True,False
Male,0,Yes,21,Yes,No,104,Yes,1,1,1,0,1,True,False,False,False,True,2184,24,2,0,False,True,False,False
Male,0,No,1,Yes,No,91,Yes,1,0,1,0,1,True,False,True,False,False,91,1,2,1,True,False,False,False
Male,0,No,5,Yes,No,20,No,1,0,1,0,0,True,False,True,False,False,100,1,2,1,True,False,False,False
Male,0,No,56,Yes,Yes,90,No,1,0,1,1,0,True,False,False,False,True,5040,24,3,0,False,False,False,True
Male,0,Yes,35,Yes,No,85,Yes,1,1,1,0,1,False,True,True,False,False,2975,1,2,0,False,False,True,False
Male,0,Yes,10,Yes,No,20,No,1,1,1,0,0,True,False,False,False,True,200,24,2,0,True,False,False,False
Female,0,No,31,No,No,50,No,0,0,0,0,0,True,False,False,False,True,1550,24,1,0,False,False,True,False
Male,1,No,37,Yes,No,86,Yes,1,0,1,0,1,False,True,True,False,False,3182,1,2,0,False,False,True,False
Male,1,No,57,Yes,Yes,95,Yes,1,0,1,1,1,True,False,False,False,True,5415,24,3,0,False,False,False,True
Female,0,Yes,34,Yes,Yes,26,No,0,1,1,1,0,True,False,True,False,False,884,1,3,0,False,False,True,False
Female,0,No,3,Yes,Yes,99,Yes,0,0,1,1,1,False,True,False,False,True,297,24,3,1,True,False,False,False
Female,0,No,4,Yes,Yes,83,No,0,0,1,1,0,False,True,False,True,False,332,12,3,1,True,False,False,False
Female,0,No,54,Yes,Yes,20,No,0,0,1,1,0,True,False,False,False,True,1080,24,3,0,False,False,False,True
Male,0,Yes,6,Yes,Yes,20,No,1,1,1,1,0,False,True,False,False,True,120,24,3,1,True,False,False,False
Male,0,No,22,Yes,No,60,No,1,0,1,0,0,True,False,False,True,False,1320,12,2,0,False,True,False,False
Male,0,No,23,Yes,No,97,No,1,0,1,0,0,True,False,True,False,False,2231,1,2,0,False,True,False,False
Female,0,No,68,Yes,No,58,No,0,0,1,0,0,True,False,False,True,False,3944,12,2,0,False,False,False,True
Female,0,Yes,48,Yes,No,20,No,0,1,1,0,0,True,False,True,False,False,960,1,2,0,False,False,True,False
Male,0,Yes,34,Yes,No,21,No,1,1,1,0,0,True,False,True,False,False,714,1,2,0,False,False,True,False
Female,0,No,41,Yes,Yes,80,No,0,0,1,1,0,False,True,True,False,False,3280,1,3,0,False,False,True,False
Male,0,No,9,Yes,Yes,76,No,1,0,1,1,0,False,True,False,True,False,684,12,3,0,True,False,False,False
Female,1,No,18,Yes,No,104,No,0,0,1,0,0,True,False,False,False,True,1872,24,2,0,False,True,False,False
Male,0,No,35,Yes,No,96,No,1,0,1,0,0,True,False,True,False,False,3360,1,2,0,False,False,True,False
Male,0,Yes,55,Yes,No,79,No,1,1,1,0,0,False,True,True,False,False,4345,1,2,0,False,False,False,True
Male,0,No,54,Yes,Yes,108,No,1,0,1,1,0,False,True,True,False,False,5832,1,3,0,False,False,False,True
Female,1,No,2,Yes,No,79,Yes,0,0,1,0,1,True,False,False,True,False,158,12,2,1,True,False,False,False
Male,0,No,52,Yes,No,106,No,1,0,1,0,0,True,False,False,False,True,5512,24,2,0,False,False,False,True
Male,0,No,72,Yes,Yes,70,No,1,0,1,1,0,True,False,False,False,True,5040,24,3,0,False,False,False,True
Male,0,No,9,Yes,No,70,No,1,0,1,0,0,True,False,True,False,False,630,1,2,0,True,False,False,False
Female,0,Yes,3,Yes,Yes,70,No,0,1,1,1,0,False,True,True,False,False,210,1,3,1,True,False,False,False
Male,1,No,4,Yes,No,75,No,1,0,1,0,0,False,True,True,False,False,300,1,2,1,True,False,False,False
Male,0,Yes,69,Yes,Yes,76,No,1,1,1,1,0,True,False,False,False,True,5244,24,3,0,False,False,False,True
Female,0,Yes,67,No,No,36,No,0,1,0,0,0,True,False,False,True,False,2412,12,1,0,False,False,False,True
Male,0,No,4,Yes,No,80,Yes,1,0,1,0,1,True,False,False,False,True,320,24,2,1,True,False,False,False
Male,0,No,13,No,No,46,Yes,1,0,0,0,1,False,True,True,False,False,598,1,1,0,False,True,False,False
Female,0,Yes,45,Yes,Yes,81,No,0,1,1,1,0,True,False,False,False,True,3645,24,3,0,False,False,True,False
Male,0,No,68,Yes,No,101,No,1,0,1,0,0,True,False,True,False,False,6868,1,2,0,False,False,False,True
Female,0,Yes,69,Yes,No,74,No,0,1,1,0,0,True,False,True,False,False,5106,1,2,0,False,False,False,True
Female,0,No,70,No,No,58,No,0,0,0,0,0,False,True,False,True,False,4060,12,1,0,False,False,False,True
Female,0,No,1,Yes,Yes,20,Yes,0,0,1,1,1,False,True,True,False,False,20,1,3,1,True,False,False,False
Female,0,Yes,45,Yes,No,26,No,0,1,1,0,0,True,False,False,False,True,1170,24,2,0,False,False,True,False
Female,0,Yes,37,Yes,No,20,No,0,1,1,0,0,False,True,False,True,False,740,12,2,0,False,False,True,False
Female,0,Yes,10,No,No,40,No,0,1,0,0,0,True,False,False,True,False,400,12,1,0,True,False,False,False
Female,0,Yes,1,Yes,Yes,89,No,0,1,1,1,0,True,False,True,False,False,89,1,3,1,True,False,False,False
Male,0,Yes,29,Yes,Yes,69,No,1,1,1,1,0,False,True,True,False,False,2001,1,3,0,False,False,True,False
Male,1,Yes,72,Yes,No,104,No,1,1,1,0,0,False,True,True,False,False,7488,1,2,0,False,False,False,True
Female,0,No,2,Yes,Yes,76,Yes,0,0,1,1,1,False,True,True,False,False,152,1,3,1,True,False,False,False
Male,0,No,24,Yes,No,54,No,1,0,1,0,0,True,False,False,True,False,1296,12,2,0,False,True,False,False
Female,0,No,4,Yes,No,79,Yes,0,0,1,0,1,True,False,True,False,False,316,1,2,1,True,False,False,False
Male,0,No,72,Yes,No,19,No,1,0,1,0,0,True,False,True,False,False,1368,1,2,0,False,False,False,True
Female,0,No,11,Yes,Yes,79,No,0,0,1,1,0,False,True,True,False,False,869,1,3,0,True,False,False,False
Female,0,Yes,44,Yes,No,20,No,0,1,1,0,0,True,False,False,True,False,880,12,2,0,False,False,True,False
Male,0,Yes,62,Yes,No,20,No,1,1,1,0,0,False,True,True,False,False,1240,1,2,0,False,False,False,True
Male,0,Yes,70,Yes,No,25,No,1,1,1,0,0,True,False,True,False,False,1750,1,2,0,False,False,False,True
Female,1,No,1,No,No,25,Yes,0,0,0,0,1,True,False,True,False,False,25,1,1,1,True,False,False,False
Female,0,No,4,Yes,No,106,Yes,0,0,1,0,1,True,False,True,False,False,424,1,2,1,True,False,False,False
Female,1,No,2,Yes,No,86,Yes,0,0,1,0,1,True,False,False,True,False,172,12,2,1,True,False,False,False
Female,0,No,41,Yes,Yes,56,No,0,0,1,1,0,True,False,True,False,False,2296,1,3,0,False,False,True,False
Female,1,No,1,Yes,Yes,19,Yes,0,0,1,1,1,True,False,False,True,False,19,12,3,1,True,False,False,False
Male,1,No,72,Yes,No,84,No,1,0,1,0,0,False,True,True,False,False,6048,1,2,0,False,False,False,True
Female,0,No,63,Yes,No,109,No,0,0,1,0,0,True,False,False,False,True,6867,24,2,0,False,False,False,True
Male,0,No,68,Yes,Yes,80,No,1,0,1,1,0,False,True,False,False,True,5440,24,3,0,False,False,False,True
Female,1,No,59,Yes,No,100,No,0,0,1,0,0,True,False,False,False,True,5900,24,2,0,False,False,False,True
Male,1,No,52,No,No,49,No,1,0,0,0,0,False,True,True,False,False,2548,1,1,0,False,False,False,True
Male,1,Yes,26,Yes,Yes,106,Yes,1,1,1,1,1,True,False,False,False,True,2756,24,3,0,False,False,True,False
Male,0,No,66,No,Yes,57,No,1,0,0,1,0,False,True,True,False,False,3762,1,2,0,False,False,False,True
Female,1,No,56,Yes,Yes,96,No,0,0,1,1,0,False,True,False,False,True,5376,24,3,0,False,False,False,True
Female,0,No,72,Yes,No,79,No,0,0,1,0,0,True,False,True,False,False,5688,1,2,0,False,False,False,True
Male,1,No,2,Yes,No,70,No,1,0,1,0,0,False,True,False,True,False,140,12,2,1,True,False,False,False
Male,0,No,68,Yes,No,117,No,1,0,1,0,0,False,True,True,False,False,7956,1,2,0,False,False,False,True
Male,0,Yes,61,Yes,Yes,85,No,1,1,1,1,0,False,True,False,False,True,5185,24,3,0,False,False,False,True
Male,0,No,1,Yes,No,20,No,1,0,1,0,0,False,True,True,False,False,20,1,2,1,True,False,False,False
Male,0,No,2,Yes,No,20,No,1,0,1,0,0,False,True,True,False,False,40,1,2,1,True,False,False,False
Female,0,No,2,Yes,No,20,Yes,0,0,1,0,1,False,True,False,True,False,40,12,2,1,True,False,False,False
Male,1,Yes,68,Yes,No,85,No,1,1,1,0,0,True,False,False,False,True,5780,24,2,0,False,False,False,True
Male,0,No,9,Yes,No,68,No,1,0,1,0,0,False,True,True,False,False,612,1,2,0,True,False,False,False
Male,0,No,13,Yes,No,83,Yes,1,0,1,0,1,False,True,True,False,False,1079,1,2,0,False,True,False,False
Female,0,No,22,Yes,No,20,No,0,0,1,0,0,False,True,False,True,False,440,12,2,0,False,True,False,False
Male,0,Yes,66,Yes,No,25,No,1,1,1,0,0,True,False,True,False,False,1650,1,2,0,False,False,False,True
Male,0,Yes,8,Yes,No,20,No,1,1,1,0,0,True,False,True,False,False,160,1,2,0,True,False,False,False
Male,0,Yes,2,Yes,No,70,No,1,1,1,0,0,True,False,False,False,True,140,24,2,1,True,False,False,False
Male,0,No,3,Yes,No,56,No,1,0,1,0,0,True,False,False,True,False,168,12,2,1,True,False,False,False
Male,0,No,5,Yes,Yes,92,Yes,1,0,1,1,1,False,True,True,False,False,460,1,3,1,True,False,False,False
Male,0,No,13,Yes,No,20,No,1,0,1,0,0,True,False,True,False,False,260,1,2,0,False,True,False,False
Male,0,Yes,53,Yes,No,65,No,1,1,1,0,0,True,False,False,False,True,3445,24,2,0,False,False,False,True
Male,0,No,3,Yes,No,20,No,1,0,1,0,0,True,False,False,False,True,60,24,2,1,True,False,False,False
Male,0,No,46,Yes,Yes,95,No,1,0,1,1,0,True,False,False,False,True,4370,24,3,0,False,False,True,False
Female,0,No,39,No,No,40,No,0,0,0,0,0,False,True,True,False,False,1560,1,1,0,False,False,True,False
Female,0,Yes,30,Yes,No,108,No,0,1,1,0,0,False,True,True,False,False,3240,1,2,0,False,False,True,False
Female,0,No,23,Yes,Yes,99,No,0,0,1,1,0,True,False,False,False,True,2277,24,3,0,False,True,False,False
Male,0,Yes,40,Yes,No,20,No,1,1,1,0,0,True,False,False,True,False,800,12,2,0,False,False,True,False
Female,0,No,45,Yes,No,63,No,0,0,1,0,0,True,False,True,False,False,2835,1,2,0,False,False,True,False
Male,0,No,53,Yes,No,20,No,1,0,1,0,0,True,False,False,True,False,1060,12,2,0,False,False,False,True
Female,1,No,72,Yes,No,112,No,0,0,1,0,0,True,False,False,True,False,8064,12,2,0,False,False,False,True
Male,0,Yes,28,Yes,No,20,No,1,1,1,0,0,True,False,False,True,False,560,12,2,0,False,False,True,False
Female,0,No,49,Yes,No,67,No,0,0,1,0,0,True,False,True,False,False,3283,1,2,0,False,False,False,True
Male,0,No,1,Yes,Yes,75,Yes,1,0,1,1,1,False,True,True,False,False,75,1,3,1,True,False,False,False
Female,0,No,20,Yes,Yes,81,No,0,0,1,1,0,True,False,False,False,True,1620,24,3,0,False,True,False,False
Female,0,Yes,53,Yes,Yes,61,No,0,1,1,1,0,False,True,False,False,True,3233,24,3,0,False,False,False,True
Male,0,No,67,Yes,No,69,No,1,0,1,0,0,False,True,True,False,False,4623,1,2,0,False,False,False,True
Male,0,No,11,Yes,No,74,Yes,1,0,1,0,1,False,True,True,False,False,814,1,2,0,True,False,False,False
Female,0,Yes,52,Yes,No,86,No,0,1,1,0,0,True,False,False,False,True,4472,24,2,0,False,False,False,True
Female,0,No,1,Yes,Yes,91,Yes,0,0,1,1,1,True,False,True,False,False,91,1,3,1,True,False,False,False
Female,0,No,48,Yes,Yes,56,No,0,0,1,1,0,True,False,True,False,False,2688,1,3,0,False,False,True,False
Female,0,No,7,Yes,No,75,Yes,0,0,1,0,1,True,False,False,False,True,525,24,2,0,True,False,False,False
